account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
8671004100,867100102010000,Receipts pending for classification_Cleared,Payment Side,Positive,Part III
8016012300,801606108010200,Actuarial Software - Infrastructure and Maintenance,Payment Side,Positive,Part III
8016012400,801606108010200,Actuarial Software -Software Solution,Payment Side,Positive,Part III
8016012500,801606108010200,Actuarial Software - Other Charges,Payment Side,Positive,Part III
3201095112,320106101030112,Dispensaries-Foreign Travel Expenses,Payment Side,Positive,Part I
3201002702,320101001020102,BD Directorate-Wages,Payment Side,Positive,Part I
3201016408,320101101040108,RMS Divisions-LTC,Payment Side,Positive,Part I
3201098304,320107104020004,DCRG for erst.while combined P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201098463,320107104030063,IA Transfer -DCRG-from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201098504,320107107010004,Family Pension-Pensionary Charges,Payment Side,Positive,Part I
3201098604,320107107020004,Family Pension-for erst.twhile P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201098763,320107107030063,IA Transfer -Family Pension from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201098804,320107108010004,Leave Encashment Benefits-Pensionary Charges,Payment Side,Positive,Part I
3201098904,320107108020004,Leave Encashment -for erst. P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201041113,320102101100113,Gramin Dak Sevaks-Office Expenses,Payment Side,Positive,Part I
3201099063,320107108030063,IA Transfer -Leave Encashment from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201099204,320107110020004,Govt contribution for NPS of Audit employees,Payment Side,Positive,Part I
3201099404,320107200010104,Workmens Compensation Act (Postal)-Pensionary Charges,Payment Side,Positive,Part I
3201099663,320107200020063,IA Transfer -other pension from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201099770,320107911010070,Pension-Deduct-Recoveries of Overpayments of Previous FYs,Receipt Side,Negative,Part I
3201099828,320108101030128,Governement Security Press-Professional Services,Payment Side,Positive,Part I
3201099928,320108101030228,Private Security Press-Professional Services,Payment Side,Positive,Part I
3201100028,320108101040128,Post cards/envelope Govt. Security Press-PPSS,Payment Side,Positive,Part I
3201100128,320108101050128,IPOs-Govt. Security Press-Professional Services,Payment Side,Positive,Part I
3201100264,320108101090064,Printing Post cards/envelops Write off of losses,Payment Side,Positive,Part I
3201061507,320103101020107,SB(ICO)-Allowances,Payment Side,Positive,Part I
3201061608,320103101020108,SB(ICO)-LTC,Payment Side,Positive,Part I
3201061711,320103101020111,SB(ICO)-Domestic Travel Expenses,Payment Side,Positive,Part I
3201061813,320103101020113,SB(ICO)-Office Expenses,Payment Side,Positive,Part I
3201082028,320103101131328,NFS Penalty Expense,Payment Side,Positive,Part I
3201061914,320103101020114,"SB(ICO)-Rent,Rates & Taxes for Land and Buildings",Payment Side,Positive,Part I
3201062016,320103101020116,SB(ICO)-Printing and Publication,Payment Side,Positive,Part I
3201062118,320103101020118,SB(ICO)-Rent for Others,Payment Side,Positive,Part I
3201062219,320103101020119,SB(ICO)-Digital Equipment,Payment Side,Positive,Part I
3201062321,320103101020121,SB(ICO)-Materials and Supplies,Payment Side,Positive,Part I
3201062424,320103101020124,SB(ICO)-Fuels and Lubricants,Payment Side,Positive,Part I
3201062526,320103101020126,SB(ICO)-Advertising and Publicity,Payment Side,Positive,Part I
3201062627,320103101020127,SB(ICO)-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201062728,320103101020128,SB(ICO)-Professional Services,Payment Side,Positive,Part I
3201062829,320103101020129,SB(ICO)-Repair and Maintenance,Payment Side,Positive,Part I
3201062964,320103101020164,SB(ICO)-Write off of losses,Payment Side,Positive,Part I
3201063001,320103101030101,Small Savings Work-Salaries,Payment Side,Positive,Part I
3201063102,320103101030102,Small Savings Work-Wages,Payment Side,Positive,Part I
3201063205,320103101030105,Small Savings Work-Rewards,Payment Side,Positive,Part I
3201063306,320103101030106,Small Savings Work-Medical Treatment,Payment Side,Positive,Part I
3201063407,320103101030107,Small Savings Work-Allowances,Payment Side,Positive,Part I
3201063508,320103101030108,Small Savings Work-LTC,Payment Side,Positive,Part I
3201063611,320103101030111,Small Savings Work-Domestic Travel Expenses,Payment Side,Positive,Part I
3201063712,320103101030112,Small Savings Work-Foreign Travel Expenses,Payment Side,Positive,Part I
3201063813,320103101030113,Small Savings Work-Office Expenses,Payment Side,Positive,Part I
3201063914,320103101030114,"Small Savings Work-Rent,Rates & Taxes for Land and Buildings",Payment Side,Positive,Part I
3201064016,320103101030116,Small Savings Work-Printing and Publication,Payment Side,Positive,Part I
3201064118,320103101030118,Small Savings Work-Rent for Others,Payment Side,Positive,Part I
3201064219,320103101030119,Small Savings Work-Digital Equipment,Payment Side,Positive,Part I
3201064321,320103101030121,Small Savings Work-Materials and Supplies,Payment Side,Positive,Part I
3201064424,320103101030124,Small Savings Work-Fuels and Lubricants,Payment Side,Positive,Part I
3201064526,320103101030126,Small Savings Work-Advertising and Publicity,Payment Side,Positive,Part I
3201064627,320103101030127,Small Savings Work-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201064728,320103101030128,Small Savings Work-Professional Services,Payment Side,Positive,Part I
3201064829,320103101030129,Small Savings Work-Repair and Maintenance,Payment Side,Positive,Part I
3201064939,320103101030139,Small Savings Work-Bank and Agency Charges,Payment Side,Positive,Part I
3201065049,320103101030149,Small Savings Work-Other Revenue Expenditure,Payment Side,Positive,Part I
3201065164,320103101030164,Small Savings Work-Write off of losses,Payment Side,Positive,Part I
3201065201,320103101040101,SB Pairing Work-Salaries,Payment Side,Positive,Part I
3201065302,320103101040102,SB Pairing Work-Wages,Payment Side,Positive,Part I
3201065405,320103101040105,SB Pairing Work-Rewards,Payment Side,Positive,Part I
3201065506,320103101040106,SB Pairing Work-Medical Treatment,Payment Side,Positive,Part I
3201065607,320103101040107,SB Pairing Work-Allowances,Payment Side,Positive,Part I
3201065708,320103101040108,SB Pairing Work-LTC,Payment Side,Positive,Part I
3201065811,320103101040111,SB Pairing Work-Domestic Travel Expenses,Payment Side,Positive,Part I
3201084508,320104102010108,Directorate (PA Wing)-LTC,Payment Side,Positive,Part I
3201084609,320104102010109,Directorate (PA Wing)-Training Expenses,Payment Side,Positive,Part I
3201053101,320102103070101,Logistic Post-Salaries,Payment Side,Positive,Part I
3201095011,320106101030111,Dispensaries-Domestic Travel Expenses,Payment Side,Positive,Part I
3201084711,320104102010111,Directorate (PA Wing)-Domestic Travel Expenses,Payment Side,Positive,Part I
3201084812,320104102010112,Directorate (PA Wing)-Foreign Travel Expenses,Payment Side,Positive,Part I
3201084913,320104102010113,Directorate (PA Wing)-Office Expenses,Payment Side,Positive,Part I
3201085014,320104102010114,Directorate (PA Wing)-RRT for Land and Buildings,Payment Side,Positive,Part I
3201085116,320104102010116,Directorate (PA Wing)-Printing and Publication,Payment Side,Positive,Part I
3201085218,320104102010118,Directorate (PA Wing)-Rent for Others,Payment Side,Positive,Part I
3201085319,320104102010119,Directorate (PA Wing)-Digital Equipment,Payment Side,Positive,Part I
3201085421,320104102010121,Directorate (PA Wing)-Materials and Supplies,Payment Side,Positive,Part I
3201085524,320104102010124,Directorate (PA Wing)-Fuels and Lubricants,Payment Side,Positive,Part I
3201085626,320104102010126,Directorate (PA Wing)-Advertising and Publicity,Payment Side,Positive,Part I
3201085727,320104102010127,Directorate (PA Wing)-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201085828,320104102010128,Directorate (PA Wing)-Professional Services,Payment Side,Positive,Part I
3201085929,320104102010129,Directorate(PA Wing)-Repair & Maintenance,Payment Side,Positive,Part I
3201086039,320104102010139,Directorate (PA Wing)-Bank and Agency Charges,Payment Side,Positive,Part I
3201086140,320104102010140,Directorate (PA Wing)-Awards and Prizes,Payment Side,Positive,Part I
3201086249,320104102010149,Directorate (PA Wing)-Other Revenue Expenditure,Payment Side,Positive,Part I
3201086364,320104102010164,Directorate (PA Wing)-Write off of losses,Payment Side,Positive,Part I
3201088021,320104102020121,Circle Postal Account office-Materials and Supplies,Payment Side,Positive,Part I
3201088124,320104102020124,Circle Postal Account office-Fuels and Lubricants,Payment Side,Positive,Part I
3201088226,320104102020126,Circle Postal Account office-Advertising and Publicity,Payment Side,Positive,Part I
3201088327,320104102020127,Circle Postal Account office-Minor C & E Works,Payment Side,Positive,Part I
3201088428,320104102020128,Circle Postal Account office-Professional Services,Payment Side,Positive,Part I
3201088529,320104102020129,Circle Postal Account office-Repair & Maintenance,Payment Side,Positive,Part I
3201088639,320104102020139,Circle Postal Account office-Bank and Agency Services,Payment Side,Positive,Part I
3201088740,320104102020140,Circle Postal Account office-Awards and Prizes,Payment Side,Positive,Part I
3201088849,320104102020149,Circle Postal Account office-Other Revenue Expenditure,Payment Side,Positive,Part I
3201088964,320104102020164,Circle Postal Account office-Write off of losses,Payment Side,Positive,Part I
3201089070,320104102040170,APS Accounts-Deduct Recoveries,Receipt Side,Negative,Part I
3201089170,320104102040270,Other Government Department-Deduct Recoveries,Receipt Side,Negative,Part I
3201089270,320104911010070,Accounts and Audit-Recoveries of Overpaymentof Previous FYs,Receipt Side,Negative,Part I
3201089316,320105053010116,Maintenance of Post Office Buildings-P & P,Payment Side,Positive,Part I
3201089418,320105053010118,Maintenance of Post Office Buildings-Rent for Others,Payment Side,Positive,Part I
3201089519,320105053010119,Maintenance of Post Office Buildings-Digital Equipment,Payment Side,Positive,Part I
3201089627,320105053010127,Maintenance of Post Office Buildings-Minor C & E Works,Payment Side,Positive,Part I
3201089729,320105053010129,Maintenance of Post Office Buildings-Repair and Maintenance,Payment Side,Positive,Part I
3201089827,320105053010227,Administrative Offices-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201089929,320105053010229,Administrative Offices-Repair & Maintenance,Payment Side,Positive,Part I
3201090027,320105053010327,Staff Quarters-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201090129,320105053010329,Staff Quarters-Repairs and Maintenance,Payment Side,Positive,Part I
3201090227,320105053010427,PAOs-Building Maintenance-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201090327,320105053010527,Preservation of Heritage Building(Scheme)-Minor C & E Works,Payment Side,Positive,Part I
3201090427,320105053010627,Renovation of Admin Office(Scheme)-Minor C & E Works,Payment Side,Positive,Part I
3201090527,320105053010727,Renovation of Postal colonies (Scheme)-Minor C & E Works,Payment Side,Positive,Part I
3201090729,320105053020129,Mail Motor Vehicles & Launches-Repair and Maintenance,Payment Side,Positive,Part I
3201090827,320105053020227,Other Motor Vehicles & Launches-Engg-Minor C & E Works,Payment Side,Positive,Part I
3201090927,320105053020327,Internal Plant-Engineering-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201091029,320105053020329,Internal Plant-Engineering-Repair and Maintenance,Payment Side,Positive,Part I
3201091101,320105053030101,Building Establishment-Salaries,Payment Side,Positive,Part I
3201091202,320105053030102,Building Establishment-Wages,Payment Side,Positive,Part I
3201091305,320105053030105,Building Establishment-Rewards,Payment Side,Positive,Part I
3201091406,320105053030106,Building Establishment-Medical Treatment,Payment Side,Positive,Part I
3201091507,320105053030107,Building Establishment-Allowances,Payment Side,Positive,Part I
3201091608,320105053030108,Building Establishment-LTC,Payment Side,Positive,Part I
3201091711,320105053030111,Building Establishment-Domestic Travel Expenses,Payment Side,Positive,Part I
3201091812,320105053030112,Building Establishment-Foreign Travel Expenses,Payment Side,Positive,Part I
3201091913,320105053030113,Building Establishment-Office Expenses,Payment Side,Positive,Part I
3201092014,320105053030114,Building Establishment-RRT,Payment Side,Positive,Part I
3201092116,320105053030116,Building Establishment-Printing and Publication,Payment Side,Positive,Part I
3201092218,320105053030118,Building Establishment-Rent for Others,Payment Side,Positive,Part I
3201092319,320105053030119,Building Establishment-Digital Equipment,Payment Side,Positive,Part I
3201092421,320105053030121,Building Establishment-Materials and Supplies,Payment Side,Positive,Part I
3201092524,320105053030124,Building Establishment-Fuels and Lubricants,Payment Side,Positive,Part I
3201092626,320105053030126,Building Establishment-Advertising and Publicity,Payment Side,Positive,Part I
3201092727,320105053030127,Building Establishment-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201092828,320105053030128,Building Establishment-Professional Services,Payment Side,Positive,Part I
3201092939,320105053030139,Building Establishment-Bank and Agency Services,Payment Side,Positive,Part I
3201093040,320105053030140,Building Establishment-Awards and Prizes,Payment Side,Positive,Part I
3201093149,320105053030149,Building Establishment-Other Revenue Expenditure,Payment Side,Positive,Part I
3201093264,320105053030164,Building Establishment-Write off of losses,Payment Side,Positive,Part I
3201093363,320105053050063,IA Transfer recurring expenditure on P&T Colonies-Govt. Adj,Payment Side,Positive,Part I
3201093463,320105053060063,IA Transfer to BSNL rent Joint Buildings-Govt. Adj,Payment Side,Positive,Part I
3201093527,320105101010127,Post Offices-Petty works engineering-Minor C & E Works,Payment Side,Positive,Part I
3201093627,320105101010227,Administrative offices-Petty works Eng.-Minor C & E Works,Payment Side,Positive,Part I
3201093727,320105101010327,Staff Quarters-Petty works engineering-Minor C & E Works,Payment Side,Positive,Part I
3201093827,320105101020127,MMV & Launches-Petty work engineering-Minor C & E Works,Payment Side,Positive,Part I
3201093927,320105101020227,Other MV& Launches-Petty work engineering-Minor C & E Works,Payment Side,Positive,Part I
3201094027,320105101020327,Internal Plants-Petty works engineering-Minor C & E Works,Payment Side,Positive,Part I
3201094170,320105911010070,Engineering-Recoveries of Overpayments of Previous FYs,Receipt Side,Negative,Part I
3201094231,320106101010031,Postal Welfare Fund-Grants in Aid General,Payment Side,Positive,Part I
3201094309,320106101020009,Departmental Canteen-Training Expenses,Payment Side,Positive,Part I
3201094449,320106101020049,Departmental Canteen-Other Revenue Expenditure,Payment Side,Positive,Part I
3201095213,320106101030113,Dispensaries-Office Expenses,Payment Side,Positive,Part I
3201095314,320106101030114,Dispensaries-RRT,Payment Side,Positive,Part I
3201095419,320106101030119,Dispensaries-Digital Equipment,Payment Side,Positive,Part I
3201095521,320106101030121,Dispensaries-Materials and Supplies,Payment Side,Positive,Part I
3201095624,320106101030124,Dispensaries-Fuels and Lubricants,Payment Side,Positive,Part I
3201095726,320106101030126,Dispensaries-Advertising and Publcity,Payment Side,Positive,Part I
3201095827,320106101030127,Dispensaries-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201095928,320106101030128,Dispensaries-Professional Services,Payment Side,Positive,Part I
3201096039,320106101030139,Dispensaries-Bank and Agency Services,Payment Side,Positive,Part I
3201096140,320106101030140,Dispensaries-Awards and Prizes,Payment Side,Positive,Part I
3201096249,320106101030149,Dispensaries-Other Revenue Expenditure,Payment Side,Positive,Part I
3201096364,320106101030164,Dispensaries-Write off of losses,Payment Side,Positive,Part I
3201096431,320106101040131,Grant to recreation clubs etc.-Grants in Aid General,Payment Side,Positive,Part I
3201096531,320106101040231,Holiday Homes-Grants in Aid General,Payment Side,Positive,Part I
3201096628,320106101050028,Payment under CGHS Schemes-Professional Services,Payment Side,Positive,Part I
3201096763,320106101060063,IA Transfer -to BSNL forDispensaries-Govt. Adjustments,Payment Side,Positive,Part I
3201096870,320106911010070,Amenities to Staff-Recoveries of Overpayment of Previous FYs,Receipt Side,Negative,Part I
3201096904,320107101010004,Superannuation & Retirement Allowance-Pensionary Charges,Payment Side,Positive,Part I
3201097004,320107101020004,Superannuation & Retd.on Court Judgemt-Pensionary Charges,Payment Side,Positive,Part I
3201097104,320107101030004,Superannuation & Retirement Allow. P & T-Pensionary Charges,Payment Side,Positive,Part I
3201097263,320107101040063,IA Transfer -supern pen-from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201097304,320107102010004,Commuted Value of Pension-Pensionary Charges,Payment Side,Positive,Part I
3201097404,320107102020004,CVP-for erst.while combined P&T Deparment-Pensionary Charges,Payment Side,Positive,Part I
3201100321,320108102010121,Stationery office Kol.- other than SBCC-Mat. and Supplies,Payment Side,Positive,Part I
3201100421,320108102010221,Paper from mills on DGS&D -Materials and Supplies,Payment Side,Positive,Part I
3201100521,320108102010321,Local purchase-paper printing -Materials and Supplies,Payment Side,Positive,Part I
3201100624,320108102010424,Printing of Forms other than SB & SC-Fuels and Lubricants,Payment Side,Positive,Part I
3201100749,320108102010449,Printing of Forms other than SB & SC-ORE,Payment Side,Positive,Part I
3201100824,320108102010524,Printing Forms at Private other than SB & SC-Fuels & L,Payment Side,Positive,Part I
3201100949,320108102010549,Printing of Forms at Private Presses-ORE,Payment Side,Positive,Part I
3201101024,320108102010624,Freight on Forms-Fuels and Lubricants,Payment Side,Positive,Part I
3201101139,320108102010639,Freight on Forms-Bank and Agency Charges,Payment Side,Positive,Part I
3201101240,320108102010640,Freight on Forms-Awards and Prizes,Payment Side,Positive,Part I
3201101349,320108102010649,Freight on Forms-Other Revenue Expenditure,Payment Side,Positive,Part I
3201101421,320108102020121,"Stationery office, Calcutta-SBCC-Materials and Supplies",Payment Side,Positive,Part I
3201101521,320108102020221,Paper from mills on DGS&D rate -SBCC-Materials and Supplies,Payment Side,Positive,Part I
3201101621,320108102020321,Local Pur.- paper printing of forms SBCC-Mat. and Supplies,Payment Side,Positive,Part I
3201101724,320108102020424,Printing of Forms at Government Presses-Fuels and Lubricants,Payment Side,Positive,Part I
3201101849,320108102020449,Printing of Forms at Govt. Presses-ORE,Payment Side,Positive,Part I
3201101924,320108102020524,Printing of Forms at Private Presses-Fuels and Lubricants,Payment Side,Positive,Part I
3201102001,320108102030101,Storage & Distribution of forms-Salaries,Payment Side,Positive,Part I
3201102102,320108102030102,Storage & Distribution of forms-Wages,Payment Side,Positive,Part I
3201102205,320108102030105,Storage & Distribution of forms-Rewards,Payment Side,Positive,Part I
3201102306,320108102030106,Storage & Distribution of forms-Medical Treatment,Payment Side,Positive,Part I
3201102407,320108102030107,Storage & Distribution of forms-Allowances,Payment Side,Positive,Part I
3201102508,320108102030108,Storage & Distribution of forms-LTC,Payment Side,Positive,Part I
3201102611,320108102030111,Storage & Distribution of forms-Domestic Travel Expenses,Payment Side,Positive,Part I
3201102713,320108102030113,Storage & Distribution of forms-Office Expenses,Payment Side,Positive,Part I
3201102814,320108102030114,Storage & Distribution of forms-RRT,Payment Side,Positive,Part I
3201102916,320108102030116,Storage & Distribution of forms-Printing and Publications,Payment Side,Positive,Part I
3201103018,320108102030118,Storage & Distribution of forms-Rent for Others,Payment Side,Positive,Part I
3201103121,320108102030121,Storage & Distribution of forms-Materials and Supplies,Payment Side,Positive,Part I
3201103224,320108102030124,Storage & Distribution of forms-Fuels and Lubricants,Payment Side,Positive,Part I
3201103326,320108102030126,Storage & Distribution of forms-Advertising and Publicity,Payment Side,Positive,Part I
3201103427,320108102030127,Storage & Distribution of forms-Minor C & E Works,Payment Side,Positive,Part I
3201103528,320108102030128,Storage & Distribution of forms-Professional Services,Payment Side,Positive,Part I
3201103639,320108102030139,Storage & Distribution of forms-Bank and Agency Charges,Payment Side,Positive,Part I
3201103740,320108102030140,Storage & Distribution of forms-Awards and Prizes,Payment Side,Positive,Part I
3201103849,320108102030149,Storage & Distribution of forms-Other Revenue Expenditure,Payment Side,Positive,Part I
3201103964,320108102030164,Storage & Distribution of forms-Write off of losses,Payment Side,Positive,Part I
3201104102,320108102040102,Departmental Printing Press-Wages,Payment Side,Positive,Part I
3201104205,320108102040105,Departmental Printing Press-Rewards,Payment Side,Positive,Part I
3201104306,320108102040106,Departmental Printing Press-Medical Treatment,Payment Side,Positive,Part I
3201104407,320108102040107,Departmental Printing Press-Allowances,Payment Side,Positive,Part I
3201104508,320108102040108,Departmental Printing Press-LTC,Payment Side,Positive,Part I
3201104611,320108102040111,Departmental Printing Press-Domestic Travel Expenses,Payment Side,Positive,Part I
3201104713,320108102040113,Departmental Printing Press-Office Expenses,Payment Side,Positive,Part I
3201104814,320108102040114,Departmental Printing Press-RRT,Payment Side,Positive,Part I
3201104916,320108102040116,Departmental Printing Press-Printing and Publication,Payment Side,Positive,Part I
3201105018,320108102040118,Departmental Printing Press-Rent for Others,Payment Side,Positive,Part I
3201105119,320108102040119,Departmental Printing Press-Digital Equipment,Payment Side,Positive,Part I
3201105221,320108102040121,Departmental Printing Press-Materials and Supplies,Payment Side,Positive,Part I
3201105324,320108102040124,Departmental Printing Press-Fuels and Lubricants,Payment Side,Positive,Part I
3201105426,320108102040126,Departmental Printing Press-Advertising and Publicity,Payment Side,Positive,Part I
3201105527,320108102040127,Departmental Printing Press-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201105628,320108102040128,Departmental Printing Press-Professional Services,Payment Side,Positive,Part I
3201105749,320108102040149,Departmental Printing Press-Other Revenue Expenditure,Payment Side,Positive,Part I
3201105864,320108102040164,Departmental Printing Press-Write off of losses,Payment Side,Positive,Part I
3201105921,320108102040221,Paper-mills on DGS&D-Dept. Printing press-Mat. and Supplies,Payment Side,Positive,Part I
3201106021,320108102040321,Local Purchase of paper-Materials and Supplies,Payment Side,Positive,Part I
3201106170,320108911010070,Stationery & Print-Recovery of Over payment of Previous FYs,Receipt Side,Negative,Part I
3201106224,320160102010024,Deposit Linked Insurance Scheme-Fuels and Lubricants,Payment Side,Positive,Part I
3201106349,320160102010049,Deposit Linked Insurance Scheme-Other Revenue Expenditure,Payment Side,Positive,Part I
3201106549,320160102020049,Interest on EDAGIS-Other Revenue Expenditure,Payment Side,Positive,Part I
3201106624,320160102030124,Subscription towards SDBS-Fuels andLubricants,Payment Side,Positive,Part I
3201106749,320160102030149,Subscription towards SDBS-Other Revenue Expenditure,Payment Side,Positive,Part I
3201106824,320160102030224,Management Expenses under SDBS-Fuels and Lubricants,Payment Side,Positive,Part I
3201106939,320160102030239,Management Expenses under SDBS-Bank and Agency Charges,Payment Side,Positive,Part I
3201107040,320160102030240,Management Expenses under SDBS-Awards and Prizes,Payment Side,Positive,Part I
3201107149,320160102030249,Management Expenses under SDBS-Other Revenue Expenditure,Payment Side,Positive,Part I
3201107232,320160798010032,Universal Postal Union-Contribution,Payment Side,Positive,Part I
3201107370,320102101142870,Input Tax Credit Adjustments,Receipt Side,Negative,Part I
3201107428,320108101020128,Cost of printing postge stamps Govt Secur Press,Payment Side,Positive,Part I
3201107501,320101001010101,Rcy of Postal Directorate-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201107601,320101001020101,Recovery of BD Directorate-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201107701,320101001050101,Recovery of SAPUS-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201107801,320101001060101,Recovery of Parcel Dte-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201107901,320101101010101,Recovery of Circle Office-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108001,320101101020101,Recovery of BD Branch-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108101,320101101030101,Recovery of Postal Division-Salaires Paid in the Current FY,Receipt Side,Negative,Part I
3201108201,320101101040101,Recovery of RMS Divisions-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108301,320101101050101,Recovery of Foreign PD-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108401,320101101060101,Recovery of PSD-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108501,320102003010101,Recovery of Oper. Trg-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108601,320102101010101,Recovery of Post Offices-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108701,320102101020101,Recy of Opening of Pos-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108801,320102101030101,Recovery of PSO Aligarh-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201108901,320102101040101,Recovery of Pre. Prod. Sers-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201109001,320102101050101,Recy of PO/Apnmt of GDS in Rural-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109101,320102101060101,Recy of PO/Apnmt of GDS in Tribl-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109201,320102101090101,Recovery of Mass Mailing Service-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109301,320102101100101,Recovery of Gramin Dak Sevak-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109401,320102102010101,Recovery of Mail Sorting-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201109501,320102102020101,Recovery of GDS Mailman-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201109601,320102103040101,Recovery of DMMS fr Ord. Ser-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109701,320102103050101,Recy of DMMS for Prem. Ser-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109801,320102103060101,Recy of Other Convey. of Mails-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201109901,320102103070101,Recovery of Logistic Post-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201110001,320102104010101,Recovery of Estt. of R & D-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201110101,320102104020101,Recovery of Regional Workshops-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201110201,320103101010101,Recovery of SBCO-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201110301,320103101020101,Recovery of SB(ICO)-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201110401,320103101030101,Recovery of Small Savings Work-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201110501,320103101040101,Recovery of SB Pairing Work-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201110601,320103101050101,Recy of Ref. Course for SB/SC-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201110701,320103101070101,Recovery of PLI Directorate-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201110801,320103101080101,Recovery of PLI Branch CO-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201110901,320103101090101,Recovery of Rural PLI-Salaries Paid in the Current FY,Receipt Side,Negative,Part I
3201111001,320103101100101,Recovery of Director PLI Kol.-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111101,320103101110101,Recovery of PLI Investment Board-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111201,320103101150101,Recovery of MGNREG ACT Workers-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111301,320104101010001,Recy of Pay & Allow. of Audit-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111401,320104102010101,Recovery of Dte(PA Wing)-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111501,320104102020101,Recovery of Circle PAO-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111601,320105053030101,Recovery of Building Estt.-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111701,320107104010401,Recovery of Payment of Severance amount for GDS,Receipt Side,Negative,Part I
3201111801,320108102030101,Recovery of S&D of forms-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201111901,320108102040101,Recovery of Dept. Printing Press-Salaries Paid in Current FY,Receipt Side,Negative,Part I
3201112005,320101001010105,Recovery of Postal Directorate-Rewards Paid in Current FY,Receipt Side,Negative,Part I
3201112105,320101001020105,Recovery of BD Directorate-Rewards Paid in the Current FY,Receipt Side,Negative,Part I
3201112205,320101001050105,Recy of South Asia Postal Union -Rewards Paid in Current FY,Receipt Side,Negative,Part I
3201112305,320101001060105,Recovery of Parcel Directorate-Rewards Paid in Current FY,Receipt Side,Negative,Part I
3201112405,320101101010105,Recovery of Circle Office-Rewards Paid in the Current FY,Receipt Side,Negative,Part I
3201112505,320101101020105,Recovery of BD Branch-Rewards Paid in the Current FY,Receipt Side,Negative,Part I
3201112605,320101101030105,Recovery of Postal Division-Rewards Paid in the Current FY,Receipt Side,Negative,Part I
3201112705,320101101040105,Recovery of RMS Divisions-Rewards Paid in the Current FY,Receipt Side,Negative,Part I
3201112805,320101101050105,Recovery of Foreign Post Division-Rewards Paid in Current FY,Receipt Side,Negative,Part I
